Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
FDN	DJ Internet Index First Trust			0	0	0	0	0	0	0	0
FDRR	Fidelity Dividend ETF For Rising Rates			0	0	0	0	0	0	0	0
FDVV	Fidelity Core Dividend ETF			0	0	0	0	0	0	0	0
FEEU	Barclays FI Enhanced Europe 50 ETN			0	0	0	0	0	0	0	0
FEN	Energy Income and Growth Fund	Finance	Closed-End Fund - Equity	0	2.18	9.14	0	2.32	0	0	0
FENY	Fidelity Energy MSCI ETF			0	0	0	0	0	0	0	0
FEU	Stoxx Europe 50 SPDR			0	0	0	0	0	0	0	0
FEZ	Euro Stoxx 50 ETF SPDR			0	-0.22	0	0	0	0	0	0
FFHG	Formula Folios Hedged Growth ETF			0	0	0	0	0	0	0	0
FFIU	Fieldstone Uva Unconstrained Medium-Term Fixed I			0	0	0	0	0	0	0	0
FFR	FTSE En Dev Mkts Rel Est First Trust			0	0	0	0	0	0	0	0
FFSG	Formulafolios Smart Growth ETF			0	0	0	0	0	0	0	0
FFTG	Formulafolios Tactical Growth ETF			0	0	0	0	0	0	0	0
FFTI	Formula Folios Income ETF			0	0	0	0	0	0	0	0
FFTY	Innovator Ibd 50 Fund ETF			0	0	0	0	0	0	0	0
FGD	DJ Global Select Dividend First Trust			0	0	0	0	0	0	0	0
FHLC	Fidelity Health Care MSCI ETF			0	0	0	0	0	0	0	0
FIBR	Ishares US Fixed Income			0	0	0	0	0	0	0	0
FIDI	Fidelity International High Dividend ETF			0	0	0	0	0	0	0	0
FIDU	Fidelity Industrials MSCI ETF			0	0	0	0	0	0	0	0
FIEE	FI Enhanced 2X Europe 50 ETN			0	0	0	0	0	0	0	0
FIEG	FI Enhanced Global High Yield			0	0	0	0	0	0	0	0
FIEU	FI Enhanced Europe 50 ETN			0	0	0	0	0	0	0	0
FIGY	Barclays FI Enhanced Global Hi Yld			0	0	0	0	0	0	0	0
FIHD	FI Enhanced Global High Yield ETN			0	0	0	0	0	0	0	0
FILL	Global Energy Producers MSCI Ishares			0	0	0	0	0	0	0	0
FINU	Ultrapro Financials Proshares			0	0	0	0	0	0	0	0
FINZ	Ultrapro Short Financials Proshares			0	0	0	0	0	0	0	0
FISK	Empire State Realty Op LP Se			59.26	0.39	0	4544913	0	0	0.14	3.13
FIVA	Fidelity International Value Factor ETF			0	0	0	0	0	0	0	0
FIW	Water ETF FT			0	0	0	0	0	0	0	0
FLAU	Australia Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLAX	Franklin Asia Ex Japan ETF			0	0	0	0	0	0	0	0
FLBR	Brazil Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLCA	Canada Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLCH	China Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLCO	Liberty Investment Grade Corp ETF			0	0	0	0	0	0	0	0
FLEE	Europe Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLEH	Europe Hedged Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLEU	FI Enhanced Europe 50 ETN Series B			0	0	0	0	0	0	0	0
FLFR	France Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLGB	United Kingdom Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLGE	CS FI Large Cap Growth Enhanced ETN			0	0	0	0	0	0	0	0
FLGR	Germany Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLHK	Hong Kong Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLIN	Franklin India ETF			0	0	0	0	0	0	0	0
FLIO	Franklin Intl Opportunities ETF			0	0	0	0	0	0	0	0
FLIY	Italy Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLJH	Japan Hedged Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLJP	Japan Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLKR	South Korea Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLLV	Liberty US Low Volatility ETF			0	0	0	0	0	0	0	0
FLM	Global Engineering and Construction ETF FT			0	0	0	0	0	0	0	0
FLMB	Franklin Liberty Municipal Bond ETF			0	0	0	0	0	0	0	0
FLMI	Franklin Liberty Intermediate Munic			0	0	0	0	0	0	0	0
FLMX	Mexico Franklin FTSE ETF			0	0	0	0	0	0	0	0
FLOT	Floating Rate Note Ishares			0	0	0	0	0	0	0	0
FLQD	Liberty Global Dividend			0	0	0	0	0	0	0	0
FLQE	Liberty Emerging Marketfs ETF			0	0	0	0	0	0	0	0
FLQG	Liberty Global Equity ETF			0	0	0	0	0	0	0	0
FLQH	Liberty Intl Equity Hedged ETF			0	0	0	0	0	0	0	0
FLQL	Franklin Libertyq U.S. Equity ETF			0	0	0	0	0	0	0	0
FLQM	Franklin Libertyq U.S. Mid Cap Equity ETF			0	0	0	0	0	0	0	0
FLQS	Franklin Libertyq U.S. Small Cap Equity ETF			0	0	0	0	0	0	0	0
FLRN	Inv Growth Floating Rate ETF SPDR			0	0	0	0	0	0	0	0
FLRT	Advisorshares Pacific Asset Enh			0	0	0	0	0	0	0	0
FLRU	Franklin Russia ETF			0	0	0	0	0	0	0	0
FLSW	Franklin Switzerland ETF			0	0	0	0	0	0	0	0
FLTB	Fidelity Limited Term Bond ETF			0	1.58	0	0	0	0	0	0
FLTR	Investment Grade Floating Rate Vaneck ETF			0	0	0	0	0	0	0	0
FLTW	Taiwan Franklin FTSE ETF			0	0	0	0	0	0	0	0
FM	Frontier 100 Ishares ETF			0	0	0	0	0	0	0	0
FMAT	Fidelity Materials MSCI ETF			0	0	0	0	0	0	0	0
FMDG	Fieldstone Merlin Dynamic Large Cap Growth ETF			0	0.07	0	0	0	0	0	0
FMF	Mstar Managed Futures Strategy Fund FT			0	0	0	0	0	0	0	0
FNCF	Ishares Financials Multifactor			0	0	0	0	0	0	0	0
FNCL	Fidelity Financials MSCI ETF			0	0	0	0	0	0	0	0
FNDA	Schwab Fundamental US Smallcap			0	0	0	0	0	0	0	0
FNDB	Schwab Fundamental US Broad Market			0	0	0	0	0	0	0	0
FNDC	Schwab Fundamental Intl Smallcap			0	0	0	0	0	0	0	0
FNDE	Schwab Fundamental EM Large Company			0	0	0	0	0	0	0	0
FNDF	Schwab Fundamental Intl Large Company			0	0	0	0	0	0	0	0
FNDX	Schwab Fundamental US Largecap			0	0	0	0	0	0	0	0
FNG	Advisorshares New Tech and Media ETF			0	0	0	0	0	0	0	0
FNGD	BMO Rex Microsectors Fang  Index -3X Inverse Lev			0	0	0	0	0	0	0	0
FNGU	BMO Rex Microsectors Fang  Index 3X Leveraged Ex			0	0	0	0	0	0	0	0
FNI	Chindia ETF FT			0	0	0	0	0	0	0	0
FOIL	Aluminum Pure Beta ETN Ipath			0	0	0	0	0	0	0	0
FPE	Preferred Securities and Income ETF FT			0	0	0	0	0	0	0	0
FPEI	FT Institutional Preferred Securities and Income			0	0	0	0	0	0	0	0
FPX	US IPO Index First Trust			0	0	0	0	0	0	0	0
FQAL	Fidelity Quality Factor ETF			0	0	0	0	0	0	0	0
FRAK	Unconventional Oil & Gas Vaneck ETF			0	0	0	0	0	0	0	0
FRD	Friedman Industries Inc	Capital Goods	Steel/Iron Ore	0	-0.16	0.67	7009777	0.04	0	0.537	0.6751
FREL	Fidelity Real Estate MSCI ETF			0	0	0	0	0	0	0	0
FRI	S&P REIT Index			0	0	0	0	0	0	0	0
FRN	Frontier Markets Guggenheim ETF	Consumer Services	Restaurants	0	0	0	0	0	0	0	0
FSI	Flexible Solutions International Inc	Basic Industries	Major Chemicals	5.49	0.35	0	11494790	0	0	1.33	1.35
FSP	Franklin Street Properties	Consumer Services	Real Estate Investment Trusts	0	-0.08	7.65	107645900	0.76	0	4	1.17
FSTA	Fidelity Consumer Staples MSCI ETF			0	0	0	0	0	0	0	0
FTEC	Fidelity Info Tech MSCI ETF			0	-0.06	0	0	0	0	0	0
FTF	Franklin Templeton Limited Duration	Finance	Closed-End Fund - Debt	0	1.67	10.83	0	1.29	0	0	0
FTLS	Long/Short Equity ETF FT			0	0	0	0	0	0	0	0
FTNW	Fte Networks Inc			0	0	0	0	0	0	0	0
FTSD	Franklin Short Dur US Government ETF			0	0	0	0	0	0	0	0
FTVA	Aptus Fortified Value ETF			0	0	0	0	0	0	0	0
FUD	CMCI Food TR ETN UBS E-Tracs			0	0	0	0	0	0	0	0
FUE	MLCX Biofuels Index TR ETN Elements			0	0	0	0	0	0	0	0
FUT	Managed Futures Strategy Proshares			0	0	0	0	0	0	0	0
FUTY	Fidelity Utilities MSCI ETF			0	0	0	0	0	0	0	0
FVAL	Fidelity Value Factor ETF			0	0	0	0	0	0	0	0
FVD	Value Line Dividend Idx First Trust	Finance	Closed-End Fund - Debt	0	3.32	0	0	0	0	0	0
FVL	Value Line 100 ETF First Trust	Finance	Closed-End Fund - Debt	0	1.86	0	0	0	0	0	0
FWDB	Madrona Global Bond ETF			0	0	0	0	0	0	0	0
FWDD	Madrona Domestic ETF			0	0	0	0	0	0	0	0
FWDI	Madrona International ETF			0	0	0	0	0	0	0	0
FXA	Australian Dollar Trust			0	0	0	0	0	0	0	0
FXB	British Pound Sterling Trust			0	0	0	0	0	0	0	0
FXC	Canadian Dollar Trust			0	0	0	0	0	0	0	0
FXCH	Chinese Renminbi Trust			0	0	0	0	0	0	0	0
FXD	Consumer Disc Alphadex First Trust			0	0	0	0	0	0	0	0
FXE	Euro Trust			0	-0.86	0	0	0	0	0	0
FXF	Swiss Franc Trust			0	0	0	0	0	0	0	0
FXG	Consumer Staples Alphadex First Trust			0	0	0	0	0	0	0	0
FXH	Healthcare Alphadex First Trust ETF			0	0	0	0	0	0	0	0
FXI	FTSE China 25 Index Ishares	Finance	Closed-End Fund - Equity	0	8.93	0	0	0	0	0	0
FXL	Technology Alphadex First Trust			0	0	0	0	0	0	0	0
FXN	Energy Alphadex First Trust			0	0	0	0	0	0	0	0
FXO	Financial Alphadex First Trust			0	0	0	0	0	0	0	0
FXP	Ultrashort FTSE China 25 Proshares			0	0	0	0	0	0	0	0
FXR	Indust/Producer Dur Alphadex First Trust			0	0	0	0	0	0	0	0
FXS	Swedish Krona Trust			0	0	0	0	0	0	0	0
FXSG	Singapore Dollar Currencyshares			0	0	0	0	0	0	0	0
FXU	Utilities Alphadex First Trust			0	0	0	0	0	0	0	0
FXY	Japanese Yen Trust			0	-0.41	0	0	0	0	0	0
FXZ	Materials Alphadex First Trust			0	0	0	0	0	0	0	0
FYLD	Cambria Foreign Shareholder Yie			0	0	0	0	0	0	0	0
GAA	Cambria Global Asset Allocation			0	0	0	0	0	0	0	0
GAL	SSGA Global Allocation ETF SPDR			0	0	0	0	0	0	0	0
GAMR	Purefunds Video Game Tech ETF			0	-0.34	0	0	0	0	0	0
GARD	Reality Divcon Dividend Guard ETF			0	0	0	0	0	0	0	0
GASL	Natural Gas Bull 3X Direxion			0	0	0	0	0	0	0	0
GASX	Direxion Natural Gas Bear 3X			0	0	0	0	0	0	0	0
GAZB	Barclays Bank Plc Ipath Series B Bloomberg Natur			0	0	0	0	0	0	0	0
GBB	GBP/USD Exchange Rate ETN Ipath			0	0	0	0	0	0	0	0
GBF	Government/Credit Bond Ishares			0	0	0	0	0	0	0	0
GBIL	GS Treasuryaccess 0-1 Year ETF			0	0	0	0	0	0	0	0
GBR	New Concept Energy Inc	Energy	Oil & Gas Production	14.0415	0.094	0	1947117	0	0	2.8723	0.6822
GCC	Continuous Commodity Index			0	0	0	0	0	0	0	0
GCE	CEF GS Connect ETN Claymore			0	0	0	0	0	0	0	0
GCOW	Pacer Global Cash Cows Dividend			0	0	0	0	0	0	0	0
GDP	Goodrich Petroleum Corp			5.7	1.76	0	10538310	0	2.94	3.03	1.91
GDVD	Principal Active Global Dividend Income ETF			0	0	0	0	0	0	0	0
GDX	Gold Miners Vaneck ETF			0	0	0	0	0	0	0	0
GDXJ	Junior Gold Miners ETF Vaneck			0	0	0	0	0	0	0	0
GDXS	Ultrashort Gold Miner Proshares			0	0	0	0	0	0	0	0
GDXX	Ultra Gold Miners Proshares			0	0	0	0	0	0	0	0
GEM	GS Activebeta EM Equity ETF			0	0	0	0	0	0	0	0
GEX	Global Alternatve Energy ETF Vaneck	Technology	Internet Service Providers	0	0	0	0	0	0	0	0
GGN	Gamco Global Gold Natural Resources	Finance	Closed-End Fund - Equity	0	0.93	10.49	0	0.6	0	0	0
GGN-B	Gamco Global Gold Natural Reou			0	0	0	0	0	0	0	0
GGO	Gabelli Go Anywhere Trust			0	0	0	0	0	0	0	0
GGO-A	The Gabelli Healthcare and Wellness Trust			0	0	0	0	0	0	0	0
GHII	S&P High Inc Infrast Guggenheim ETF			0	4.4	0	0	0	0	0	0
GHS	Rex Gold Hedged S&P 500 ETF			0	0	0	0	0	0	0	0
GHYB	Access High Yield Corporate Bond ETF Goldman Sac			0	0	0	0	0	0	0	0
GHYG	Global High Yield Corporate Bond Fund Ishares			0	0	0	0	0	0	0	0
GIGB	Goldman Sachs Access Investment Grade Corp Bond			0	0	0	0	0	0	0	0
GII	FTSE Global Infra 100 SPDR			0	0	0	0	0	0	0	0
GLD	Gold SPDR	Finance	Closed-End Fund - Equity	0	-1.38	0	0	0	0	0	0
GLDW	Long Dollar Gold Trust SPDR			0	0	0	0	0	0	0	0
GLF	Gulfmark Offshore Inc			0	0	0	0	0	0	0	0
GLF.W	Gulfmark Offshore Inc WT			0	0	0	0	0	0	0	0
GLL	Ultrashort Gold Proshares			0	0	0	0	0	0	0	0
GLO	Clough Global Opportunities Fund			0	-0.7	9.75	0	1.03	0	0	0
GLOW	Glowpoint Inc			0	-0.096	0	36180180	0	0	0.5938	3.4821
GLQ	Clough Global Equity Fund	Finance	Closed-End Fund - Equity	0	-1.07	9.22	0	1.19	0	0	0
GLTR	Physical Precious Metals Basket			0	0	0	0	0	0	0	0
GLU	Gabelli Global Utility			0	1.47	5.82	0	1.2	0	0	0
GLU-A	The Gabelli Global Utility and			0	0	0	0	0	0	0	0
GLV	Clough Global Allocation Fund	Finance	Closed-End Fund - Equity	0	-0.47	9.09	0	1.24	0	0	0
GMF	S&P Emerging Asia Pacific SPDR			0	0	0	0	0	0	0	0
GMFL	Guggenheim Multi-Factor Large Cap ETF			0	0	0	0	0	0	0	0
GMI	Gold Miners Indicitive Index			0	0	0	0	0	0	0	0
GMO	General Moly Inc	Basic Industries	Precious Metals	0	-0.071	0	111171400	0	0	0	0.3468
GMOM	Cambria Global Momentum ETF			0	0	0	0	0	0	0	0
GNR	S&P Global Natural Resources SPDR			0	0	0	0	0	0	0	0
GOAU	US Global Go Gold and Precious Metal Miners ETF			0	0	0	0	0	0	0	0
GOEX	G-X Gold Explorers ETF			0	0	0	0	0	0	0	0
GOP	Republican Policies Fund			0	0	0	0	0	0	0	0
GORO	Gold Resource Corp	Basic Industries	Precious Metals	66.36	0.05	0.54	56838360	0.02	0	2.44	1.84
GOVT	Core US Treasury Bond ETF Ishares			0	0	0	0	0	0	0	0
GPL	Great Panther Silver Ltd	Basic Industries	Precious Metals	68.89	0.02	0	167943600	0	0	3.67	2.49
GQRE	Flexshares Global Quality Real Estate			0	0	0	0	0	0	0	0
GREK	G-X FTSE Greece 20 ETF			0	0	0	0	0	0	0	0
GRES	IQ Global Resources ETF			0	0	0	0	0	0	0	0
GRF	Eagle Capital Growth Fund	Finance	Closed-End Fund - Equity	0	0.911	15.24	0	1.19	0	0	0
GRI	Global Realty Majors Cohen & Steers ETF	Retail		0	0	0	0	0	0	0	0
GRMY	Xtrackers Germany Equity ETF			0	0	0	0	0	0	0	0
GRN	Global Carbon ETN Ipath	Consumer Services	Rubber & Plastics	0	0	0	0	0	0	0	0
GRNB	Green Bond Vaneck ETF			0	-0.209	0	0	0	0	0	0
GRU	MLCX Grains Index TR ETN Elements		Information & Delivery Services	0	0	0	0	0	0	0	0
GRWN	Softs Pure Beta ETN Ipath			0	0	0	0	0	0	0	0
GSAT	Globalstar			0	-0.22	0	1157576000	0	-0.78	18.4	20.63
GSB	Globalscape	Technology	Computer Software: Prepackaged Software	21	0.19	1.54	21571430	0.06	0	2.45	2.73
GSC	GS Connect S&P GSCI Enh Commodity TR ETN			0	0	0	0	0	0	0	0
GSD	Wisdomtree Global Smallcap Divd Fund			0	0	0	0	0	0	0	0
GSEU	GS Activebeta Europe Equity ETF			0	0	0	0	0	0	0	0
GSEW	Equal Weight U.S. Large Cap Equity ETF Goldman S			0	0	0	0	0	0	0	0
GSG	S&P GSCI Commodity-Indexed Ishares			0	1.43	0	0	0	0	0	0
GSIE	GS Activebeta International ETF			0	0	0	0	0	0	0	0
GSJY	GS Activebeta Japan Equity ETF			0	0	0	0	0	0	0	0
GSLC	GS Activebeta US Largecap ETF			0	0	0	0	0	0	0	0
GSP	S&P GSCI Total Return ETN Ipath			0	0	0	0	0	0	0	0
GSS	Golden Star Resources Ltd	Basic Industries	Precious Metals	0	-0.028	0	376195500	0	0.93	1.1006	0
GSSC	GS Activebeta U.S. Small Cap Equity ETF			0	0	0	0	0	0	0	0
GST	Gastar Exploration	Energy	Oil & Gas Production	0	-0.263	0	199546600	0	-1.04	2.1906	0
GST-A	Gastar Exploration 8.625% Serie			0	0	0	0	0	0	0	0
GST-B	Gastar Exploration USA Inc Pfd			0	0	0	0	0	0	0	0
GSV	Gold Standard Ventures Corp			0	-0.04	0	233378600	0	-17.34	0	2.15
GSY	Guggenheim Enhanced Short Duration ETF			0	0	0	0	0	0	0	0
GTE	Gran Tierra Energy Inc	Energy	Oil & Gas Production	0	-0.94	0	394772500	0	3.38	2.28	0.82
GTO	Guggenheim Total Return Bond ETF			0	0	0	0	0	0	0	0
GUDB	Sage ESG Intermediate Credit ETF			0	0	0	0	0	0	0	0
GUNR	Mstar Global Upstream Natural Resources ETF			0	0	0	0	0	0	0	0
GURU	G-X Guru Index ETF			0	0	0	0	0	0	0	0
GUSH	Direxion S&P Oil & Gas Expl Bull 3X			0	0	0	0	0	0	0	0
GV	Goldfield Corp	Public Utilities	Water Supply	14.14	0.4	0	25451790	0	0	1.17	2.67
GVAL	Cambria Global Value ETF			0	0	0	0	0	0	0	0
GVI	Interm Govt/Credit Bond Ishares			0	0	0	0	0	0	0	0
GVIP	GS Hedge Industry Vip ETF			0	0	0	0	0	0	0	0
GVP	GSE Systems	Technology	Computer Software: Prepackaged Software	38.04	0.09	0	19242860	0	0	1.09	2.98
GWX	S&P Smallcap Intl SPDR			0	0	0	0	0	0	0	0
GXC	S&P China SPDR			0	0	0	0	0	0	0	0
GXF	G-X FTSE Nordic Region ETF			0	0	0	0	0	0	0	0
GXG	G-X FTSE Colombia 20 ETF			0	0	0	0	0	0	0	0
GYLD	Arrow DJ Global Yield ETF			0	0	0	0	0	0	0	0
HACK	Etfmg Prime Cyber Security ETF			0	0	0	0	0	0	0	0
HACV	Ishares Min Vol Global Currency ETF			0	0	0	0	0	0	0	0
HACW	Ishares ACWI Currency Hedged			0	0	0	0	0	0	0	0
HAHA	CSOP China CSI 300 A-H Dynamic			0	0	0	0	0	0	0	0
HAO	China Smallcap Guggenheim			0	0	0	0	0	0	0	0
HAP	Rve Hard Assets Producers Vaneck ETF			0	0	0	0	0	0	0	0
HAUD	Ishares Australia Currency Hedged			0	0	0	0	0	0	0	0
HAWX	Ishares ACWI Ex-US Currency Hedged			0	0	0	0	0	0	0	0
HCA.U	Hennessy Capital Acquisition Corp III			0	0	0	0	0	0	0	0
HCA.W	Hennessy Capital Acquisition Corp III Warrants			0	0	0	0	0	0	0	0
HCAC	Hennessy Capital Acquisition Corp III			0	-1.46	0	7530612	0	0	0	14.79
HCOR	Hartford Corporate Bond ETF			0	0	0	0	0	0	0	0
HCRF	Ishares Healthcare Multifactor			0	0	0	0	0	0	0	0
HDAW	Db-Xt MSCI All World Ex-US Div Yld Hgd Eq			0	0	0	0	0	0	0	0
HDEF	Db-Xt MSCI EAFE High Div Yld Hgd Eq			0	0	0	0	0	0	0	0
HDG	Hedge Replication Proshares			0	0	0	0	0	0	0	0
HDGE	Active Bear ETF			0	0	0	0	0	0	0	0
HDLV	Etracs Mt Pay 2X US Hi Div Low Vol ETN			0	0	0	0	0	0	0	0
HDMV	Horizon Vol Dev Intl ETF FT			0	0	0	0	0	0	0	0
HDRW	Wisdomtree Global Ex-US Hedged Real Estate Fund			0	0	0	0	0	0	0	0
HDV	Core High Dividend ETF Ishares			0	0	0	0	0	0	0	0
HEB	Hemispherx Biopharma	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	0	-0.367	0	29177220	0	0	27.863	0.896
HECO	Ecological Strategy ETF			0	0	0	0	0	0	0	0
HEDJ	Intl Hedged Equity Wisdomtree			0	0	0	0	0	0	0	0
HEEM	Ishares EM Currency Hedged			0	0	0	0	0	0	0	0
HEFA	MSCI EAFE Ishares Currency Hedged			0	0	0	0	0	0	0	0
HEFV	Ishares Min Vol EAFE Currency Hedged			0	0	0	0	0	0	0	0
HEMV	Ishares Min Vol EM Currency Hedged			0	0	0	0	0	0	0	0
HEUS	Ishares Europe Smallcap Currency Hedged			0	0	0	0	0	0	0	0
HEUV	Ishares Min Vol Europe Currency Hedged			0	0	0	0	0	0	0	0
HEVY	Ipath Pure Beta Industrial Metals			0	0	0	0	0	0	0	0
HEWC	Ishares Canada Currency Hedged			0	0	0	0	0	0	0	0
HEWI	Ishares Italy Currency Hedged			0	0	0	0	0	0	0	0
HEWJ	MSCI Japan Ishares Currency Hedged			0	0	0	0	0	0	0	0
HEWL	Ishares Switzerland Currency Hedged			0	0	0	0	0	0	0	0
HEWP	Ishares Spain Currency Hedged			0	0	0	0	0	0	0	0
HEWU	Ishares UK Currency Hedged			0	0	0	0	0	0	0	0
HEWW	Ishares Mexico Currency Hedged			0	0	0	0	0	0	0	0
HEWY	Ishares South Korea Currency Hedged			0	0	0	0	0	0	0	0
HEZU	Ishares Eurozone Currency Hedged			0	0	0	0	0	0	0	0
HFXE	IQ 50% Hedged FTSE Europe			0	0	0	0	0	0	0	0
HFXI	IQ 50% Hedged FTSE International			0	0	0	0	0	0	0	0
HFXJ	IQ 50% Hedged FTSE Japan			0	0	0	0	0	0	0	0
HGI	Intl Multi-Asset Inc Guggenheim			0	0	0	0	0	0	0	0
HGSD	Wisdomtree Global Smallcap Hedged Fund			0	0	0	0	0	0	0	0
HHYX	Ishares Intl High Yld Currency Hedged			0	0	0	0	0	0	0	0
HILO	Low Vol EM Dividend ETF Egshares			0	0	0	0	0	0	0	0
HIPS	Graniteshares US High Income ETF			0	0	0	0	0	0	0	0
HJPX	Ishares Jpx-Nikkei 400 Currency Hedged			0	0	0	0	0	0	0	0
HLM.P	Hillman Gr Cap 11.6			0	0	0	0	0	0	0	0
HLTH	Nobilis Health Corp			19.01	0.07	0	77807410	0	0.46	0.31	0.7
HMG	Hmg/Courtland Properties	Consumer Services	Real Estate Investment Trusts	0	-0.628	0	1001903	0	0	0	0.5656
HMOP	Hartford Municipal Opportunities ETF			0	0	0	0	0	0	0	0
HNW	Pioneer Diversified High Income Trust			0	1.75	8.36	0	1.38	0	0	0
HOLD	Advisorshares Sage Core Reserve			0	0	0	0	0	0	0	0
HOML	Etracs Mt Reset 2X ISE Exc Homebuilders ETN			0	0	0	0	0	0	0	0
HONR	Insightshares Patriotic Employers ETF			0	0	0	0	0	0	0	0
HQBD	Hartford Quality Bonds ETF			0	0	0	0	0	0	0	0
HSCZ	Ishares EAFE Smallcap Currency Hedged			0	0	0	0	0	0	0	0
HSPX	Horizons S&P 500 Covered Call			0	0	0	0	0	0	0	0
HTM	U.S. Geothermal Inc	Public Utilities	Electric Utilities: Central	134.48	0.03	0	19238460	0	6.43	2.32	0.7
HTRB	Hartford Total Return Bond ETF			0	0	0	0	0	0	0	0
HTUS	Hull Tactical US ETF			0	0	0	0	0	0	0	0
HUSA	Houston American Energy Corp	Energy	Oil & Gas Production	0	-0.054	0	54223020	0	0	113.7154	4.741
HUSE	US Equity Rotation Strategy ETF			0	0	0	0	0	0	0	0
HUSV	Horizon Vol Domestic ETF FT			0	0	0	0	0	0	0	0
HVX	Environmental Services Indicitive Index			0	0	0	0	0	0	0	0
HYD	High Yld Muni ETF Vaneck			0	0	0	0	0	0	0	0
HYDB	Ishares Edge High Yield Defensive Bond ETF			0	0	0	0	0	0	0	0
HYDD	Direxion High Yield Bear 2X			0	0	0	0	0	0	0	0
HYDW	Xtrackers Low Beta High Yield Bond ETF			0	0	0	0	0	0	0	0
HYEM	Emrg Mkts High Yield Bd ETF Vaneck			0	0	0	0	0	0	0	0
HYG	Iboxx $ High Yield Corp Bond Ishares			0	0	0	0	0	0	0	0
HYGH	Interest Rate Hedged Hi Yld Ishares			0	0	0	0	0	0	0	0
HYHG	High Yld Interest Rate Proshares			0	0	0	0	0	0	0	0
HYIH	Db-Xt HY Corp Bd Intr Rt Hdg			0	0	0	0	0	0	0	0
HYLB	D-X USD Hi Yld Corp Bond ETF			0	0	0	0	0	0	0	0
HYLD	Peritus High Yield ETF			0	0	0	0	0	0	0	0
HYLV	Indexiq S&P High Yld Low Vol ETF			0	0	0	0	0	0	0	0
HYMB	S&P Hi Yld Muni Bond SPDR			0	0	0	0	0	0	0	0
HYS	0-5 Year Hi Yld Corp Bond Idx ETF Pimco			0	0	0	0	0	0	0	0
HYUP	Xtrackers High Beta High Yield Bond ETF			0	0	0	0	0	0	0	0
HYXU	Global Ex-US High Yield Corp Bond Fund Ishares			0	0	0	0	0	0	0	0
IAF	Aberdeen Australia Equity Fund Inc	Finance	Closed-End Fund - Foreign	0	0.54	10.19	0	0.64	0	0	0
IAGG	Ishares Intl Aggregate Bond Fund			0	0	0	0	0	0	0	0
IAI	DJ US Broker-Dealers Ishares			0	0	0	0	0	0	0	0
IAK	DJ US Insurance Ishares			0	0	0	0	0	0	0	0
IAT	DJ US Regional Banks Ishares			0	0	0	0	0	0	0	0
IAU	Gold Trust Ishares ETF	Finance	Closed-End Fund - Equity	0	-0.12	0	0	0	0	0	0
IBCC	2018 Investment Grade Ishares			0	0	0	0	0	0	0	0
IBCD	2020 Investment Grade Ishares			0	0	0	0	0	0	0	0
IBCE	2023 Investment Grade Ishares			0	0	0	0	0	0	0	0
IBD	Inspire Corporate Bond Impact ETF			0	0	0	0	0	0	0	0
IBDB	Ishares Mar 2018 Term Corp ETF			0	0	0	0	0	0	0	0
IBDC	Ishares Mar 2020 Term Corp ETF			0	0	0	0	0	0	0	0
IBDD	Ishares Mar 2023 Term Corp ETF			0	0	0	0	0	0	0	0
IBDH	Ishares Dec 2018 Term Corp ETF			0	0	0	0	0	0	0	0
IBDK	Ishares Dec 2019 Term Corp ETF			0	0	0	0	0	0	0	0
IBDL	Ishares Dec 2020 Term Corp ETF			0	0	0	0	0	0	0	0
IBDM	Ishares Dec 2021 Term Corp ETF			0	0	0	0	0	0	0	0
IBDN	Ishares Dec 2022 Term Corp ETF			0	0	0	0	0	0	0	0
IBDO	Ishares Dec 2023 Term Corp ETF			0	0	0	0	0	0	0	0
IBDP	Ishares Dec 2024 Term Corp ETF			0	0	0	0	0	0	0	0
IBDQ	Ishares Dec 2025 Term Corp ETF			0	0	0	0	0	0	0	0
IBDR	Ishares Dec 2026 Term Corp ETF			0	0	0	0	0	0	0	0
IBDS	Ishares Ibonds Dec 2027 Term Corporate ETF			0	0	0	0	0	0	0	0
IBIO	Ibio Inc	Consumer Durables	Major Pharmaceuticals	0	-0.164	0	92812100	0	0	74.5608	3.165
IBLN	Direxion Ibillionaire Index ETF			0	0	0	0	0	0	0	0
IBMG	2018 S&P Amt-Free Municipal Ishares			0	0	0	0	0	0	0	0
IBMH	2019 Amt-Free Muni Term Ishares			0	0	0	0	0	0	0	0
IBMI	Ishares Sep 2020 Term Muni Bond ETF			0	0	0	0	0	0	0	0
