RESULT_COUNT: 140,API_CALL_CREDITS: 140
IDENTIFIER,TICKER,BUSINESS_ADDRESS,BUSINESS_PHONE_NO,COMPANY_URL,CEO,COUNTRY,STATE,INDUSTRY_CATEGORY,SECTOR,BETA,LONG_DESCRIPTION,CIK,STOCK_EXCHANGE,FIGI
BUFF,BUFF,"11 RIVER ROAD, SUITE 103, WILTON, CT 06897",(203) 762-9751,www.bluebuffalo.com,Billy Bishop,United States of America,Connecticut,Food & Beverage,Consumer Goods,0.495,"Blue Buffalo Pet Products, Inc., through its subsidiary, Blue Buffalo Company, Ltd., operates as a pet food company in the United States, Canada, Japan, and Mexico. The company develops, produces, markets, and sells dog and cat food under the BLUE Life Protection Formula, BLUE Wilderness, BLUE Basics, BLUE Freedom, and BLUE Natural Veterinary Diet lines. It also produces and sells cat litter under the BLUE Naturally Fresh line. The company sells its products to retail partners and distributors in specialty channels, including national pet superstore chains, regional pet store chains, neighborhood pet stores, farm and feed stores, ecommerce retailers, military outlets, hardware stores, and veterinary clinics and hospitals. Blue Buffalo Pet Products, Inc. was founded in 2002 and is headquartered in Wilton, Connecticut.",0001609989,NasdaqGS,BBG009CWL2S8
BUI,BUI,"100 BELLEVUE PARKWAY, WILMINGTON, DE 19809-3700",(800) 882-0052,"http://www.buhlerindustries.com
",N/A,United States of America,Delaware,Financial Services,Financial,0.5627,"Blackrock Utility and Infrastructure Trust is a diversified, closed-end investment management company. The Trust services consist of the management of equity, fixed income, multi-asset, alternative investment and cash management products. The Trust offers investment products, which include open-end and closed-end mutual funds, iShares exchangetradedfunds (ETFs), collective investment trusts and separate accounts. In addition it provides market risk management, financial markets advisory and enterprise investment system services to financial institutions, pension funds, asset managers, foundations, consultants, mutual fund sponsors, real estate investment trusts and government agencies. Financial markets advisory services include valuation services relating to illiquid securities, dispositions and workout assignments, risk management and strategic planning and execution. The Trust earns revenue by lending securities to highly rated banks and broker dealers.",0001528988,NYSE,BBG0021RGFV9
BULK,NM,"7 AVENUE DE GRANDE BRETAGNE, OFFICE 11B2, MONTE CARLO, MC, MONACO 98000",37797982140,www.navios.com,Angeliki N. Frangou,Monaco,nm,Transportation,Services,2.781,"Navios Maritime Holdings Inc. operates as a seaborne shipping and logistics company. The company focuses on the transportation and transshipment of dry bulk commodities, including iron ore, coal, and grains. It operates in two segments, Dry Bulk Vessel Operations and Logistics Business. The Dry Bulk Vessel Operations segment engages in the transportation and handling of bulk cargoes through the ownership, operation, and trading of vessels, freight, and forward freight agreements. This segment charters its vessels to trading houses, producers, and government-owned entities. The Logistics Business segment operates ports and transfer station terminals; handles vessels, barges, and push boats; and operates upriver transport facilities in the Hidrovia region. This segment provides its integrated transportation, storage, and related services through its port facilities, fleet of dry and liquid cargo barges, and product tankers to mineral and grain commodity providers, as well as users of refined petroleum products. The company's fleet consists of 61 vessels totaling 6.3 million deadweight tons. It operates in North America, Europe, Asia, South America, and internationally. Navios Maritime Holdings Inc. is based in Monaco.",0001333172,NYSE,BBG000QQV9V5
BUR,BUR,"1946 WEST BROADWAY, VANCOUVER, CANADA V6J 1Z2",(604) 733-0896,www.burcon.ca,Allan Yap,Canada,British Columbia,Drugs,Healthcare,-0.0505,"Burcon NutraScience Corporation develops various composition, application, and process patents from its protein extraction and purification technology. The company's patented processes utilize oilseed meals and other plant-based sources for the production of plant proteins that exhibit nutritional, functional, and nutraceutical profiles. Its products include CLARISOY, a soy protein isolate that offers clarity, solubility, and nutrition for neutral and low pH systems; Peazazz, a pea protein, which is soluble with clean flavour characteristics; and Puratein, Supertein, and Nutratein that are canola protein isolates with functional and nutritional attributes. The company's products are targeted at protein ingredient market, as well as for health and wellness applications. Its patent portfolio consists of 220 issued patents worldwide, including 55 issued U.S. patents covering composition of matter and key processes for producing and using its soy, canola, and flax protein products as functional food and beverage ingredients. The company was formerly known as Burcon Capital Corp. and changed its name to Burcon NutraScience Corporation in October 1999. Burcon NutraScience Corporation is headquartered in Vancouver, Canada.",0001158399,NasdaqGM,BBG000FBKGH2
BURG,HOTR,"7621 LITTLE AVENUE, SUITE 414, CHARLOTTE, NC 28226",704-366-5122,www.chanticleerholdings.com,Mike D. Pruitt,United States of America,North Carolina,Leisure,Services,1.0885,"Chanticleer Holdings, Inc. owns, operates, and franchises fast casual and full service dining concepts in the United States and internationally. The company owns and operates restaurants under the Hooters, American Burger Company, The Burger Joint, BT's Burger Joint, Little Big Burger, and Just Fresh names. As of December, 31, 2015, it operated 62 locations, including 49 company-owned locations and 13 franchisee-operated locations. The company was formerly known as Tulvine Systems, Inc. and changed its name to Chanticleer Holdings, Inc. in May 2005. Chanticleer Holdings, Inc. was founded in 1999 and is headquartered in Charlotte, North Carolina.",0001106838,NasdaqCM,BBG000BVZBB3
BURL,BURL,"1830 ROUTE 130 NORTH, BURLINGTON, NJ 08016",6093877800,www.burlingtonstores.com,Thomas A. Kingsbury,United States of America,New Jersey,Retail,Services,0.9317,"Burlington Stores, Inc. operates as a retailer of branded apparel products in the United States. The company offers fashion-focused merchandise, including ladies sportswear, menswear, youth apparel, baby furniture, footwear, accessories, home decor and gifts, and coats. As of January 28, 2017, it operated 592 stores, including an Internet store in 45 states and Puerto Rico. Burlington Stores, Inc. was founded in 1972 and is based in Burlington, New Jersey.",0001579298,NYSE,BBG004S641T9
BUSE,BUSE,"201 W MAIN STREET, URBANA, IL 61801",2173654544,www.busey.com,Van A. Dukeman,United States of America,Illinois,Banking,Financial,0.9111,"First Busey Corporation operates as the bank holding company for Busey Bank that provides retail and commercial banking products and services to individual, corporate, institutional, and governmental customers in the United States. The company operates in three segments: Banking, Remittance Processing, and Wealth Management. It offers customary types of demand and savings deposits; and commercial, agricultural, commercial and residential real estate, and consumer loans, as well as home equity lines of credit. The company also provides money transfer, safe deposit, IRA, Keogh and other fiduciary, ATM and technology-based networks, and online and mobile banking services. In addition, it offers investment management, trust, estate advisory, and financial planning services, as well as business succession planning, and employee retirement planning services; investment strategy consulting and fiduciary services; and security brokerage services. Further, the company provides pay processing solutions, such as walk-in payment processing for payments delivered by customers to retail pay agents; online bill payment solutions for payments made by customers on a billing company's Website; customer service payments for payments accepted over the telephone; direct debit services; electronic concentration of payments delivered by the automated clearing house network; money management software and credit card networks; and lockbox remittance processing of payments delivered by mail. It has 28 banking centers in Illinois; 7 in southwest Florida; and 1 in Indianapolis, Indiana. First Busey Corporation was founded in 1868 and is headquartered in Champaign, Illinois.",0000314489,NasdaqGS,BBG000JNDQ42
BUTL,na,na,na,na,na,na,na,na,na,18.0275,na,na,na,BBG000HNMRP9
BV,BV,"10901 STONELAKE BLVD., AUSTIN, TX 78759",512-551-6000,www.bazaarvoice.com,Eugene Austin,United States of America,Texas,Computer Software & Services,Technology,-58.906,"Bazaarvoice, Inc. provides solutions and services that connect brands and retailers to the voices of people where they shop. It provides its solutions through Bazaarvoice conversations platform, a software as a service platform, which enables clients to capture, manage, and display online consumer-generated content, including ratings and reviews, photos, questions and answers, videos, long-format narratives, seller ratings, and workbench analytics. The company's platform also allows clients to pull in content from various social platforms, including Instagram, Facebook, and Twitter, as well as organize and display photos, videos, texts, and links that leverage social content throughout their site. In addition, its platform allows brands and retailers to build their own branded community for engaging their advocates to gain content and momentum for new products and seasonal launches, as well as provides clients with the opportunity to search results at the product category level. The company's content is used by clients for various applications, including online and mobile-optimized Websites, mobile applications, social networks, in-store kiosks, physical in-store displays, printed flyers, email, and other forms of online and offline media. As of April 30, 2016, it served 1,399 active clients in the retail, consumer products, travel and leisure, technology, telecommunications, financial services, healthcare, and automotive industries. It operates in the United States, the United Kingdom, France, Germany, the Netherlands, Sweden, Singapore, and Australia. Bazaarvoice, Inc. was founded in 2005 and is headquartered in Austin, Texas.",0001330421,NasdaqGS,BBG00L1LT6J0
BVGB,na,na,na,na,na,na,na,na,na,na,na,na,na,BBG0001J9JD1
