RESULT_COUNT: 140,API_CALL_CREDITS: 140
IDENTIFIER,TICKER,BUSINESS_ADDRESS,BUSINESS_PHONE_NO,COMPANY_URL,CEO,COUNTRY,STATE,INDUSTRY_CATEGORY,SECTOR,BETA,LONG_DESCRIPTION,CIK,STOCK_EXCHANGE,FIGI
MMR,na,na,na,na,na,na,na,na,na,1.5955,na,na,na,BBG000CDZPL0
MMS,MMS,"ATTN: TREASURY DEPT., 1891 METRO CENTER DRIVE, RESTON, VA 20190",7032518500,www.maximus.com,Richard A. Montoni,United States of America,Virginia,Diversified Services,Services,1.2808,"MAXIMUS, Inc. provides business process services (BPS) to government health and human services programs in the United States, the United Kingdom, Australia, Canada, and Saudi Arabia. The company's Health Services segment offers various BPS, appeals, and assessments, as well as related consulting services for state, provincial, and national government programs comprising Medicaid, Children's Health Insurance Program, the Affordable Care Act, Health Insurance British Columbia, the Health Assessment Advisory Service, and Fit for Work Service. Its services include health insurance exchange customer contact center operations and support; health insurance program eligibility and enrollment; beneficiary outreach and education; application assistance and independent health plan enrollment counseling; premium payment processing and administration; health plan oversight; eHealth solutions with the Medigent product suite; independent disability, long-term sick, and health assessments; occupational health clinical assessments; and specialized program consulting services. The company's U.S. Federal Services segment offers services, including centralized customer contact centers and support services; documents and records management; and case management, citizen engagement, and consumer education; independent medical reviews and worker's compensation benefit appeals; health benefit appeals; eligibility appeals; modernization of systems and IT infrastructure; infrastructure operations and support; software development, operations, and management; and data analytics. Its Human Services Segment provides national, state, and local human services agencies with various BPS and related consulting services for welfare-to-work, child support, higher education, and K-12 special education programs; and management tools and professional consulting, program consulting, and tax credit and employer services. MAXIMUS, Inc. was founded in 1975 and is headquartered in Reston, Virginia.",0001032220,NYSE,BBG000BC5YJ0
MMSI,MMSI,"1600 WEST MERIT PARK WAY, SOUTH JORDAN, UT 84095",8012531600,www.merit.com,Fred P. Lampropoulos,United States of America,Utah,Health Services,Healthcare,1.1335,"Merit Medical Systems, Inc. designs, develops, manufactures, and markets medical products for interventional and diagnostic procedures worldwide. The company's Cardiovascular segment offers cardiology and radiology devices for diagnosing and treating coronary arterial, peripheral vascular, and other non-vascular diseases; and embolotherapeutic products. It also provides vascular access products; guide wires, inflation devices, and diagnostic catheters for use in angiography procedures; therapeutic infusion systems and safety products; drainage catheters and drainage access products, support catheters, vascular retrieval devices, and dialysis access products; and embosphere microspheres and delivery systems, and microcatheters. In addition, this segment offers needles, scalpels, hemostasis devices, arm boards, and sheath introducers for cardiology procedures; fluid management and tubing, manifolds, syringes, transducers, and diagnostic catheters; hemostasis valves, MAP Merit Angioplasty Packs, and angioplasty accessories; cardiac rhythm management and electrophysiology devices; and various devices, accessories, kits, and procedure trays. The company's Endoscopy segment provides gastroenterology and pulmonology devices for expanding esophageal, tracheobronchial, and biliary strictures caused by malignant tumors. It also offers non-vascular, esophageal, and biliary stents; esophageal balloon dilators; kits and accessories for the endoscopy and bronchoscopy markets; coating services for medical tubes and wires under OEM brands; and microelectromechanical systems sensor components. The company serves hospitals and clinic-based cardiologists, radiologists, neurologists, nephrologists, vascular and orthopaedic surgeons, interventional gastroenterologists and pulmonologists, physiatrists, general surgeons, thoracic surgeons, oncologists, electrophysiologists, technicians, and nurses. The company was founded in 1987 and is headquartered in South Jordan, Utah.",0000856982,NasdaqGS,BBG000C435Z4
MMT,MMT,nm,nm,"http://www.martresources.com
",N/A,nm,nm,Financial Services,Financial,0.3178,"MFS Multimarket Income Trust is a close-ended fixed income mutual fund launched and managed by MFS Investment Management, Inc. The fund invests in the fixed income markets across the globe with greater emphasis on United States. It seeks to invest in fixed income securities issued by U.S. Government, foreign government, mortgage backed, and other asset-backed securities of U.S. and foreign issuers, corporate bonds of U.S. and foreign issuers, and debt instruments of issuers located in emerging market countries with an average duration of 5.1 years. The fund employs fundamental analysis along with bottom-up approach focusing on underlying credit quality, collateral characteristics, and indenture provisions, and the issuer's management ability, capital structure, leverage, and ability to meet its current obligations. It benchmarks the performance of its portfolios against the Citigroup World Government Bond Non-Dollar Hedged Index, JPMorgan Emerging Markets Bond Index Global, Lehman Brothers U.S. Credit Bond Index, Lehman Brothers U.S. Government/Mortgage Bond Index, and Lehman Brothers U.S. High-Yield Corporate Bond Index. MFS Multimarket Income Trust was formed in March 12, 1987 and is domiciled in the Unites States.",nm,NYSE,BBG000BP5S22
MMV,MMV,nm,nm,Analyst Estimates,N/A,nm,nm,Financial Services,Financial,0.0413,"Eaton Vance Massachusetts Municipal Income Trust is a closed ended fixed income mutual fund launched and managed by Eaton Vance Management. It invests in fixed income markets. The fund invests primarily in debt securities issued by Massachusetts municipalities. Its portfolio comprises investments primarily in education, electric utilities, general obligations, health care, industrial development, transportation, and water and sewer sectors. Eaton Vance Massachusetts Municipal Income Trust was organized in 1998 and is based in Boston, Massachusetts.",nm,NYSE MKT,BBG000CQN547
MNEL,na,na,na,na,na,na,na,na,na,1.2143,na,na,na,BBG000LJLGX9
MNGL,na,na,na,na,na,na,na,na,na,-0.2253,na,na,na,BBG001YHSZ22
MNI,MNI,"LEGAL DEPARTMENT, 2100 Q STREET, SACRAMENTO, CA 95852",9163211846,www.mcclatchy.com,Craig I. Forman,United States of America,California,Media,Services,1.4878,"The McClatchy Company publishes news and information in the United States. Its publications include the Miami Herald, The Kansas City Star, The Sacramento Bee, The Charlotte Observer, The (Raleigh) News and Observer, the (Fort Worth) Star-Telegram, and The (Durham, NC) Herald-Sun. The company's businesses comprise daily newspapers, Websites, mobile apps, mobile news and advertising, video products, niche publications, direct marketing, direct mail services, and nearby community newspapers. The McClatchy Company was founded in 1860 and is headquartered in Sacramento, California.",0001056087,NYSE,BBG000BP63Q0
MNLO,MNLO,"200 CARDINAL WAY, 2ND FLOOR, REDWOOD CITY, CA 94063",650-486-1416,N/A,N/A,United States of America,California,nm,nm,-1.937,N/A,0001566044,nm,BBG00JN3X438
MNRTA,MNR,"3499 ROUTE 9 N, SUITE 3-D, JUNIPER BUSINESS PLAZA, FREEHOLD, NJ 07728",7325779996,www.mreic.com,Michael P. Landy,United States of America,New Jersey,Real Estate,Financial,0.6829,"Monmouth Real Estate Investment Corporation (MREIC) is a real estate investment trust. It owns, manages, and leases properties to investment-grade tenants on long-term leases. The firm invests in the public equity and real estate markets of the United States. It primarily invests in industrial properties and holds a portfolio of REIT securities. Monmouth Real Estate Investment Corporation was founded in 1968 and is based in Freehold, New Jersey.",0000067625,NYSE,BBG000BLZG60
